"","varnumber","varname","codevalue","valuelabel","frequency","percent"
"73",35000,"CIPCODE","01.8106","Veterinary Infectious Diseases",4,0
"74",35000,"CIPCODE","01.8107","Veterinary Microbiology and Immunobiology",6,0
"75",35000,"CIPCODE","01.8108","Veterinary Pathology and Pathobiology",16,0.01
"76",35000,"CIPCODE","01.8109","Veterinary Physiology",2,0
"77",35000,"CIPCODE","01.8110","Veterinary Preventive Medicine, Epidemiology, and Public Health",7,0
"78",35000,"CIPCODE","01.8201","Veterinary Administrative Services, General",1,0
"79",35000,"CIPCODE","01.8202","Veterinary Office Management/Administration",3,0
"80",35000,"CIPCODE","01.8203","Veterinary Reception/Receptionist",1,0
"81",35000,"CIPCODE","01.8204","Veterinary Administrative/Executive Assistant and Veterinary Secretary",1,0
"82",35000,"CIPCODE","01.8301","Veterinary/Animal Health Technology/Technician and Veterinary Assistant",366,0.12
"83",35000,"CIPCODE","01.8399","Veterinary/Animal Health Technologies/Technicians, Other",3,0
"84",35000,"CIPCODE","01.9999","Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",57,0.02
"85",35000,"CIPCODE","03.0101","Natural Resources/Conservation, General",243,0.08
"86",35000,"CIPCODE","03.0103","Environmental Studies",873,0.29
"87",35000,"CIPCODE","03.0104","Environmental Science",953,0.32
"88",35000,"CIPCODE","03.0199","Natural Resources Conservation and Research, Other",47,0.02
"89",35000,"CIPCODE","03.0201","Environmental/Natural Resources Management and Policy, General",133,0.04
"90",35000,"CIPCODE","03.0204","Environmental/Natural Resource Economics",23,0.01
"91",35000,"CIPCODE","03.0205","Water, Wetlands, and Marine Resources Management",48,0.02
"92",35000,"CIPCODE","03.0206","Land Use Planning and Management/Development",21,0.01
"93",35000,"CIPCODE","03.0207","Environmental/Natural Resource Recreation and Tourism",23,0.01
"94",35000,"CIPCODE","03.0208","Environmental/Natural Resources Law Enforcement and Protective Services",25,0.01
"95",35000,"CIPCODE","03.0209","Energy and Environmental Policy",9,0
"96",35000,"CIPCODE","03.0299","Environmental/Natural Resources Management and Policy, Other",48,0.02
"97",35000,"CIPCODE","03.0301","Fishing and Fisheries Sciences and Management",50,0.02
"98",35000,"CIPCODE","03.0501","Forestry, General",100,0.03
"99",35000,"CIPCODE","03.0502","Forest Sciences and Biology",44,0.01
"100",35000,"CIPCODE","03.0506","Forest Management/Forest Resources Management",39,0.01
"101",35000,"CIPCODE","03.0508","Urban Forestry",25,0.01
"102",35000,"CIPCODE","03.0509","Wood Science and Wood Products/Pulp and Paper Technology/Technician",24,0.01
"103",35000,"CIPCODE","03.0510","Forest Resources Production and Management",10,0
"104",35000,"CIPCODE","03.0511","Forest Technology/Technician",53,0.02
"105",35000,"CIPCODE","03.0599","Forestry, Other",23,0.01
"106",35000,"CIPCODE","03.0601","Wildlife, Fish and Wildlands Science and Management",153,0.05
"107",35000,"CIPCODE","03.9999","Natural Resources and Conservation, Other",30,0.01
"108",35000,"CIPCODE","04.0200","Pre-Architecture Studies",8,0
"109",35000,"CIPCODE","04.0201","Architecture",260,0.09
"110",35000,"CIPCODE","04.0202","Architectural Design",4,0
"111",35000,"CIPCODE","04.0301","City/Urban, Community, and Regional Planning",224,0.08
"112",35000,"CIPCODE","04.0401","Environmental Design/Architecture",64,0.02
"113",35000,"CIPCODE","04.0402","Healthcare Environment Design/Architecture",1,0
"114",35000,"CIPCODE","04.0403","Sustainable Design/Architecture",3,0
"115",35000,"CIPCODE","04.0501","Interior Architecture",70,0.02
"116",35000,"CIPCODE","04.0601","Landscape Architecture",116,0.04
"117",35000,"CIPCODE","04.0801","Architectural History and Criticism, General",35,0.01
"118",35000,"CIPCODE","04.0802","Architectural Conservation",1,0
"119",35000,"CIPCODE","04.0803","Architectural Studies",6,0
"120",35000,"CIPCODE","04.0901","Architectural Technology/Technician",128,0.04
"121",35000,"CIPCODE","04.0902","Architectural and Building Sciences/Technology",173,0.06
"122",35000,"CIPCODE","04.0999","Architectural Sciences and Technology, Other",2,0
"123",35000,"CIPCODE","04.1001","Real Estate Development",26,0.01
"124",35000,"CIPCODE","04.9999","Architecture and Related Services, Other",40,0.01
"125",35000,"CIPCODE","05.0101","African Studies",106,0.04
"126",35000,"CIPCODE","05.0102","American/United States Studies/Civilization",343,0.12
"127",35000,"CIPCODE","05.0103","Asian Studies/Civilization",259,0.09
"128",35000,"CIPCODE","05.0104","East Asian Studies",159,0.05
"129",35000,"CIPCODE","05.0105","Russian, Central European, East European and Eurasian Studies",39,0.01
"130",35000,"CIPCODE","05.0106","European Studies/Civilization",89,0.03
"131",35000,"CIPCODE","05.0107","Latin American Studies",283,0.1
"132",35000,"CIPCODE","05.0108","Near and Middle Eastern Studies",138,0.05
"133",35000,"CIPCODE","05.0109","Pacific Area/Pacific Rim Studies",11,0
"134",35000,"CIPCODE","05.0110","Russian Studies",102,0.03
"135",35000,"CIPCODE","05.0111","Scandinavian Studies",15,0.01
"136",35000,"CIPCODE","05.0112","South Asian Studies",25,0.01
"137",35000,"CIPCODE","05.0113","Southeast Asian Studies",10,0
"138",35000,"CIPCODE","05.0114","Western European Studies",13,0
"139",35000,"CIPCODE","05.0115","Canadian Studies",4,0
"140",35000,"CIPCODE","05.0118","Slavic Studies",6,0
"141",35000,"CIPCODE","05.0119","Caribbean Studies",4,0
"142",35000,"CIPCODE","05.0120","Ural-Altaic and Central Asian Studies",7,0
"143",35000,"CIPCODE","05.0121","Commonwealth Studies",1,0
"144",35000,"CIPCODE","05.0122","Regional Studies (U.S., Canadian, Foreign)",29,0.01
"145",35000,"CIPCODE","05.0123","Chinese Studies",41,0.01
"146",35000,"CIPCODE","05.0124","French Studies",60,0.02
"147",35000,"CIPCODE","05.0125","German Studies",77,0.03
"148",35000,"CIPCODE","05.0126","Italian Studies",67,0.02
"149",35000,"CIPCODE","05.0127","Japanese Studies",34,0.01
"150",35000,"CIPCODE","05.0128","Korean Studies",4,0
"151",35000,"CIPCODE","05.0130","Spanish and Iberian Studies",21,0.01
"152",35000,"CIPCODE","05.0133","Irish Studies",1,0
"153",35000,"CIPCODE","05.0134","Latin American and Caribbean Studies",48,0.02
"154",35000,"CIPCODE","05.0135","Appalachian Studies",2,0
"155",35000,"CIPCODE","05.0199","Area Studies, Other",115,0.04
"156",35000,"CIPCODE","05.0200","Ethnic Studies",130,0.04
"157",35000,"CIPCODE","05.0201","African-American/Black Studies",376,0.13
"158",35000,"CIPCODE","05.0202","American Indian/Native American Studies",166,0.06
"159",35000,"CIPCODE","05.0203","Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",121,0.04
"160",35000,"CIPCODE","05.0206","Asian-American Studies",35,0.01
"161",35000,"CIPCODE","05.0207","Women's Studies",699,0.24
"162",35000,"CIPCODE","05.0208","Gay/Lesbian Studies",20,0.01
"163",35000,"CIPCODE","05.0209","Folklore Studies",18,0.01
"164",35000,"CIPCODE","05.0210","Disability Studies",34,0.01
"165",35000,"CIPCODE","05.0211","Deaf Studies",32,0.01
"166",35000,"CIPCODE","05.0212","Comparative Group Studies",10,0
"167",35000,"CIPCODE","05.0299","Ethnic, Cultural Minority, Gender, and Group Studies, Other",246,0.08
"168",35000,"CIPCODE","05.9999","Area, Ethnic, Cultural, Gender, and Group Studies, Other",4,0
"169",35000,"CIPCODE","09.0100","Communication, General",589,0.2
"170",35000,"CIPCODE","09.0101","Speech Communication and Rhetoric",1392,0.47
"171",35000,"CIPCODE","09.0102","Mass Communication/Media Studies",579,0.2
"172",35000,"CIPCODE","09.0199","Communication and Media Studies, Other",220,0.07
"173",35000,"CIPCODE","09.0401","Journalism",660,0.22
"174",35000,"CIPCODE","09.0402","Broadcast Journalism",104,0.04
"175",35000,"CIPCODE","09.0404","Photojournalism",30,0.01
"176",35000,"CIPCODE","09.0405","Business and Economic Journalism",1,0
"177",35000,"CIPCODE","09.0407","Science/Health/Environmental Journalism",1,0
"178",35000,"CIPCODE","09.0499","Journalism, Other",82,0.03
"179",35000,"CIPCODE","09.0701","Radio and Television",311,0.1
"180",35000,"CIPCODE","09.0702","Digital Communication and Media/Multimedia",620,0.21
"181",35000,"CIPCODE","09.0799","Radio, Television, and Digital Communication, Other",60,0.02
"182",35000,"CIPCODE","09.0900","Public Relations, Advertising, and Applied Communication",251,0.08
"183",35000,"CIPCODE","09.0901","Organizational Communication, General",161,0.05
"184",35000,"CIPCODE","09.0902","Public Relations/Image Management",273,0.09
"185",35000,"CIPCODE","09.0903","Advertising",182,0.06
"186",35000,"CIPCODE","09.0904","Political Communication",25,0.01
"187",35000,"CIPCODE","09.0905","Health Communication",94,0.03
"188",35000,"CIPCODE","09.0906","Sports Communication",96,0.03
"189",35000,"CIPCODE","09.0907","International and Intercultural Communication",41,0.01
"190",35000,"CIPCODE","09.0908","Technical and Scientific Communication",43,0.01
"191",35000,"CIPCODE","09.0909","Communication Management and Strategic Communications",46,0.02
"192",35000,"CIPCODE","09.0999","Public Relations, Advertising, and Applied Communication, Other",84,0.03
"193",35000,"CIPCODE","09.1001","Publishing",33,0.01
"194",35000,"CIPCODE","09.9999","Communication, Journalism, and Related Programs, Other",152,0.05
"195",35000,"CIPCODE","10.0105","Communications Technology/Technician",66,0.02
"196",35000,"CIPCODE","10.0201","Photographic and Film/Video Technology/Technician",186,0.06
"197",35000,"CIPCODE","10.0202","Radio and Television Broadcasting Technology/Technician",161,0.05
"198",35000,"CIPCODE","10.0203","Recording Arts Technology/Technician",282,0.1
"199",35000,"CIPCODE","10.0204","Voice Writing Technology/Technician",2,0
"200",35000,"CIPCODE","10.0299","Audiovisual Communications Technologies/Technicians, Other",31,0.01
"201",35000,"CIPCODE","10.0301","Graphic Communications, General",74,0.02
"202",35000,"CIPCODE","10.0302","Printing Management",4,0
"203",35000,"CIPCODE","10.0303","Prepress/Desktop Publishing and Digital Imaging Design",183,0.06
"204",35000,"CIPCODE","10.0304","Animation, Interactive Technology, Video Graphics, and Special Effects",441,0.15
"205",35000,"CIPCODE","10.0305","Graphic and Printing Equipment Operator, General Production",62,0.02
"206",35000,"CIPCODE","10.0306","Platemaker/Imager",7,0
"207",35000,"CIPCODE","10.0307","Printing Press Operator",3,0
"208",35000,"CIPCODE","10.0308","Computer Typography and Composition Equipment Operator",1,0
"209",35000,"CIPCODE","10.0399","Graphic Communications, Other",14,0
"210",35000,"CIPCODE","10.9999","Communications Technologies/Technicians and Support Services, Other",38,0.01
"211",35000,"CIPCODE","11.0101","Computer and Information Sciences, General",1779,0.6
"212",35000,"CIPCODE","11.0102","Artificial Intelligence",71,0.02
"213",35000,"CIPCODE","11.0103","Information Technology",1253,0.42
"214",35000,"CIPCODE","11.0104","Informatics",123,0.04
"215",35000,"CIPCODE","11.0105","Human-Centered Technology Design",5,0
"216",35000,"CIPCODE","11.0199","Computer and Information Sciences,  Other",113,0.04
"217",35000,"CIPCODE","11.0201","Computer Programming/Programmer, General",772,0.26
"218",35000,"CIPCODE","11.0202","Computer Programming, Specific Applications",270,0.09
"219",35000,"CIPCODE","11.0203","Computer Programming, Vendor/Product Certification",41,0.01
"220",35000,"CIPCODE","11.0204","Computer Game Programming",19,0.01
"221",35000,"CIPCODE","11.0205","Computer Programming, Specific Platforms",10,0
"222",35000,"CIPCODE","11.0299","Computer Programming, Other",33,0.01
"223",35000,"CIPCODE","11.0301","Data Processing and Data Processing Technology/Technician",218,0.07
"224",35000,"CIPCODE","11.0401","Information Science/Studies",747,0.25
"225",35000,"CIPCODE","11.0501","Computer Systems Analysis/Analyst",160,0.05
"226",35000,"CIPCODE","11.0601","Data Entry/Microcomputer Applications, General",181,0.06
"227",35000,"CIPCODE","11.0602","Word Processing",13,0
"228",35000,"CIPCODE","11.0699","Data Entry/Microcomputer Applications, Other",5,0
"229",35000,"CIPCODE","11.0701","Computer Science",1683,0.57
"230",35000,"CIPCODE","11.0801","Web Page, Digital/Multimedia and Information Resources Design",855,0.29
"231",35000,"CIPCODE","11.0802","Data Modeling/Warehousing and Database Administration",215,0.07
"232",35000,"CIPCODE","11.0803","Computer Graphics",226,0.08
"233",35000,"CIPCODE","11.0804","Modeling, Virtual Environments and Simulation",61,0.02
"234",35000,"CIPCODE","11.0899","Computer Software and Media Applications, Other",126,0.04
"235",35000,"CIPCODE","11.0901","Computer Systems Networking and Telecommunications",1028,0.35
"236",35000,"CIPCODE","11.0902","Cloud Computing",39,0.01
"237",35000,"CIPCODE","11.0999","Computer Systems Networking and Telecommunications, Other",2,0
"238",35000,"CIPCODE","11.1001","Network and System Administration/Administrator",479,0.16
"239",35000,"CIPCODE","11.1002","System, Networking, and LAN/WAN Management/Manager",177,0.06
"240",35000,"CIPCODE","11.1003","Computer and Information Systems Security/Auditing/Information Assurance",1354,0.46
"241",35000,"CIPCODE","11.1004","Web/Multimedia Management and Webmaster",205,0.07
"242",35000,"CIPCODE","11.1005","Information Technology Project Management",95,0.03
"243",35000,"CIPCODE","11.1006","Computer Support Specialist",418,0.14
"244",35000,"CIPCODE","11.1099","Computer/Information Technology Services Administration and Management, Other",161,0.05
"245",35000,"CIPCODE","11.9999","Computer and Information Sciences and Support Services, Other",153,0.05
"246",35000,"CIPCODE","12.0301","Funeral Service and Mortuary Science, General",90,0.03
"247",35000,"CIPCODE","12.0302","Funeral Direction/Service",18,0.01
"248",35000,"CIPCODE","12.0303","Mortuary Science and Embalming/Embalmer",5,0
"249",35000,"CIPCODE","12.0399","Funeral Service and Mortuary Science, Other",4,0
"250",35000,"CIPCODE","12.0401","Cosmetology/Cosmetologist, General",1721,0.58
"251",35000,"CIPCODE","12.0402","Barbering/Barber",590,0.2
"252",35000,"CIPCODE","12.0404","Electrolysis/Electrology and Electrolysis Technician",12,0
"253",35000,"CIPCODE","12.0406","Make-Up Artist/Specialist",38,0.01
"254",35000,"CIPCODE","12.0407","Hair Styling/Stylist and Hair Design",117,0.04
"255",35000,"CIPCODE","12.0408","Facial Treatment Specialist/Facialist",87,0.03
"256",35000,"CIPCODE","12.0409","Aesthetician/Esthetician and Skin Care Specialist",725,0.24
"257",35000,"CIPCODE","12.0410","Nail Technician/Specialist and Manicurist",588,0.2
"258",35000,"CIPCODE","12.0411","Permanent Cosmetics/Makeup and Tattooing",4,0
"259",35000,"CIPCODE","12.0412","Salon/Beauty Salon Management/Manager",40,0.01
"260",35000,"CIPCODE","12.0413","Cosmetology, Barber/Styling, and Nail Instructor",692,0.23
"261",35000,"CIPCODE","12.0414","Master Aesthetician/Esthetician",63,0.02
"262",35000,"CIPCODE","12.0499","Cosmetology and Related Personal Grooming Arts, Other",119,0.04
"263",35000,"CIPCODE","12.0500","Cooking and Related Culinary Arts, General",266,0.09
"264",35000,"CIPCODE","12.0501","Baking and Pastry Arts/Baker/Pastry Chef",324,0.11
"265",35000,"CIPCODE","12.0502","Bartending/Bartender",6,0
"266",35000,"CIPCODE","12.0503","Culinary Arts/Chef Training",725,0.24
"267",35000,"CIPCODE","12.0504","Restaurant, Culinary, and Catering Management/Manager",243,0.08
"268",35000,"CIPCODE","12.0505","Food Preparation/Professional Cooking/Kitchen Assistant",82,0.03
"269",35000,"CIPCODE","12.0506","Meat Cutting/Meat Cutter",9,0
"270",35000,"CIPCODE","12.0507","Food Service, Waiter/Waitress, and Dining Room Management/Manager",22,0.01
"271",35000,"CIPCODE","12.0508","Institutional Food Workers",39,0.01
"272",35000,"CIPCODE","12.0509","Culinary Science/Culinology",20,0.01
"273",35000,"CIPCODE","12.0510","Wine Steward/Sommelier",10,0
"274",35000,"CIPCODE","12.0599","Culinary Arts and Related Services, Other",48,0.02
"275",35000,"CIPCODE","12.0602","Casino Dealing",1,0
"276",35000,"CIPCODE","12.9999","Culinary, Entertainment, and Personal Services, Other",8,0
"277",35000,"CIPCODE","13.0101","Education, General",1310,0.44
"278",35000,"CIPCODE","13.0201","Bilingual and Multilingual Education",158,0.05
"279",35000,"CIPCODE","13.0202","Multicultural Education",68,0.02
"280",35000,"CIPCODE","13.0203","Indian/Native American Education",15,0.01
"281",35000,"CIPCODE","13.0299","Bilingual, Multilingual, and Multicultural Education, Other",15,0.01
"282",35000,"CIPCODE","13.0301","Curriculum and Instruction",729,0.25
"283",35000,"CIPCODE","13.0401","Educational Leadership and Administration, General",1451,0.49
"284",35000,"CIPCODE","13.0402","Administration of Special Education",44,0.01
"285",35000,"CIPCODE","13.0403","Adult and Continuing Education Administration",34,0.01
"286",35000,"CIPCODE","13.0404","Educational, Instructional, and Curriculum Supervision",144,0.05
"287",35000,"CIPCODE","13.0406","Higher Education/Higher Education Administration",402,0.14
"288",35000,"CIPCODE","13.0407","Community College Administration",53,0.02
"289",35000,"CIPCODE","13.0408","Elementary and Middle School Administration/Principalship",57,0.02
"290",35000,"CIPCODE","13.0409","Secondary School Administration/Principalship",49,0.02
"291",35000,"CIPCODE","13.0410","Urban Education and Leadership",67,0.02
"292",35000,"CIPCODE","13.0411","Superintendency and Educational System Administration",103,0.03
"293",35000,"CIPCODE","13.0412","International School Administration/Leadership",3,0
"294",35000,"CIPCODE","13.0413","Education Entrepreneurship",1,0
"295",35000,"CIPCODE","13.0414","Early Childhood Program Administration",5,0
"296",35000,"CIPCODE","13.0499","Educational Administration and Supervision, Other",154,0.05
"297",35000,"CIPCODE","13.0501","Educational/Instructional Technology",549,0.19
"298",35000,"CIPCODE","13.0601","Educational Evaluation and Research",75,0.03
"299",35000,"CIPCODE","13.0603","Educational Statistics and Research Methods",65,0.02
"300",35000,"CIPCODE","13.0604","Educational Assessment, Testing, and Measurement",38,0.01
"301",35000,"CIPCODE","13.0607","Learning Sciences",46,0.02
"302",35000,"CIPCODE","13.0608","Institutional Research",1,0
"303",35000,"CIPCODE","13.0699","Educational Assessment, Evaluation, and Research, Other",32,0.01
"304",35000,"CIPCODE","13.0701","International and Comparative Education",41,0.01
"305",35000,"CIPCODE","13.0901","Social and Philosophical Foundations of Education",106,0.04
"306",35000,"CIPCODE","13.1001","Special Education and Teaching, General",1436,0.48
"307",35000,"CIPCODE","13.1003","Education/Teaching of Individuals with Hearing Impairments Including Deafness",70,0.02
"308",35000,"CIPCODE","13.1004","Education/Teaching of the Gifted and Talented",107,0.04
"309",35000,"CIPCODE","13.1005","Education/Teaching of Individuals with Emotional Disturbances",37,0.01
"310",35000,"CIPCODE","13.1006","Education/Teaching of Individuals with Intellectual Disabilities",31,0.01
"311",35000,"CIPCODE","13.1007","Education/Teaching of Individuals with Multiple Disabilities",55,0.02
"312",35000,"CIPCODE","13.1008","Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments",11,0
"313",35000,"CIPCODE","13.1009","Education/Teaching of Individuals with Vision Impairments Including Blindness",26,0.01
"314",35000,"CIPCODE","13.1011","Education/Teaching of Individuals with Specific Learning Disabilities",85,0.03
"315",35000,"CIPCODE","13.1012","Education/Teaching of Individuals with Speech or Language Impairments",42,0.01
"316",35000,"CIPCODE","13.1013","Education/Teaching of Individuals with Autism",134,0.05
"317",35000,"CIPCODE","13.1014","Education/Teaching of Individuals Who are Developmentally Delayed",10,0
"318",35000,"CIPCODE","13.1015","Education/Teaching of Individuals in Early Childhood Special Education Programs",254,0.09
"319",35000,"CIPCODE","13.1016","Education/Teaching of Individuals with Traumatic Brain Injuries",4,0
"320",35000,"CIPCODE","13.1017","Education/Teaching of Individuals in Elementary Special Education Programs",104,0.04
"321",35000,"CIPCODE","13.1018","Education/Teaching of Individuals in Junior High/Middle School Special Education Programs",21,0.01
"322",35000,"CIPCODE","13.1019","Education/Teaching of Individuals in Secondary Special Education Programs",69,0.02
"323",35000,"CIPCODE","13.1099","Special Education and Teaching, Other",177,0.06
"324",35000,"CIPCODE","13.1101","Counselor Education/School Counseling and Guidance Services",721,0.24
"325",35000,"CIPCODE","13.1102","College Student Counseling and Personnel Services",109,0.04
"326",35000,"CIPCODE","13.1199","Student Counseling and Personnel Services, Other",32,0.01
"327",35000,"CIPCODE","13.1201","Adult and Continuing Education and Teaching",142,0.05
"328",35000,"CIPCODE","13.1202","Elementary Education and Teaching",1865,0.63
"329",35000,"CIPCODE","13.1203","Junior High/Intermediate/Middle School Education and Teaching",509,0.17
"330",35000,"CIPCODE","13.1205","Secondary Education and Teaching",979,0.33
"331",35000,"CIPCODE","13.1206","Teacher Education, Multiple Levels",424,0.14
"332",35000,"CIPCODE","13.1207","Montessori Teacher Education",28,0.01
"333",35000,"CIPCODE","13.1209","Kindergarten/Preschool Education and Teaching",223,0.08
"334",35000,"CIPCODE","13.1210","Early Childhood Education and Teaching",1877,0.63
"335",35000,"CIPCODE","13.1211","Online Educator/Online Teaching",24,0.01
"336",35000,"CIPCODE","13.1212","International Teaching and Learning",3,0
"337",35000,"CIPCODE","13.1213","Science, Technology, Engineering, and Mathematics (STEM) Educational Methods",30,0.01
"338",35000,"CIPCODE","13.1214","College/Postsecondary/University Teaching",13,0
"339",35000,"CIPCODE","13.1299","Teacher Education and Professional Development, Specific Levels and Methods, Other",342,0.12
"340",35000,"CIPCODE","13.1301","Agricultural Teacher Education",130,0.04
"341",35000,"CIPCODE","13.1302","Art Teacher Education",531,0.18
"342",35000,"CIPCODE","13.1303","Business and Innovation/Entrepreneurship Teacher Education",151,0.05
"343",35000,"CIPCODE","13.1304","Driver and Safety Teacher Education",8,0
"344",35000,"CIPCODE","13.1305","English/Language Arts Teacher Education",696,0.23
"345",35000,"CIPCODE","13.1306","Foreign Language Teacher  Education",146,0.05
"346",35000,"CIPCODE","13.1307","Health Teacher Education",205,0.07
"347",35000,"CIPCODE","13.1308","Family and Consumer Sciences/Home Economics Teacher Education",86,0.03
"348",35000,"CIPCODE","13.1309","Technology Teacher Education/Industrial Arts Teacher Education",124,0.04
"349",35000,"CIPCODE","13.1310","Sales and Marketing Operations/Marketing and Distribution   Teacher Education",10,0
"350",35000,"CIPCODE","13.1311","Mathematics Teacher Education",803,0.27
"351",35000,"CIPCODE","13.1312","Music Teacher Education",845,0.29
"352",35000,"CIPCODE","13.1314","Physical Education Teaching and Coaching",800,0.27
"353",35000,"CIPCODE","13.1315","Reading Teacher Education",564,0.19
"354",35000,"CIPCODE","13.1316","Science Teacher Education/General Science Teacher Education",466,0.16
"355",35000,"CIPCODE","13.1317","Social Science Teacher Education",145,0.05
"356",35000,"CIPCODE","13.1318","Social Studies Teacher Education",423,0.14
"357",35000,"CIPCODE","13.1319","Technical Teacher Education",98,0.03
